id,sitio,fecha,refugios,tratamiento,individuo,edad,ubicacion,id2,hobotc,idhobo,hobota,hora,pipf,peso,peso_1,peso1,peso2,pesosuma,actividad,horarios,medicont,tiempo,exacta,variacion,perdida,restante,logperdida
76,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,08:30,,35.59,36.23,35.84,0.39,36.23,Alta,08:30 a. m. a 10:30 a. m.,D,D,D,-1.076455976,1.076455976,98.92354402,0.031996273
77,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,10:30,,35.84,36.23,35.9,0.33,36.23,Alta,10:30 a. m. a 12:30 p. m.,E,E,E,-0.910847364,0.910847364,99.08915264,-0.040554394
78,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,12:30,,35.9,36.23,35.62,0.61,36.23,Baja,12:30 p. m. a 03:30 p. m.,F,F,F,-1.683687552,1.683687552,98.31631245,0.226261501
79,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,15:30,,35.62,36.23,35.32,0.91,36.23,Baja,03:30 p. m. a 06:30 p. m.,G,G,G,-2.51173061,2.51173061,97.48826939,0.399973058
80,Conservado,22/07/2019,Base de árbol,B,9,Juvenil,Juvenil interior,Juvenil 1,123,123CBAJ1,556,18:30,,35.32,36.23,35.84,0.39,36.23,Alta,06:30 p. m. a 09:30 p. m.,H,H,H,-1.076455976,1.076455976,98.92354402,0.031996273
89,Conservado,22/07/2019,Base de árbol,B,10,Adulto,Adulto interior,Adulto 1,123,123CBAA1,556,18:30,,115.8,115.8,116.29,-0.49,115.8,Alta,06:30 p. m. a 09:30 p. m.,H,H,G,0.423143351,-0.423143351,100.4231434,
93,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,04:30,,38.2,38.2,37.8,0.4,38.2,Baja,04:30 a. m. a 08:30 a. m.,C,C,A,-1.047120419,1.047120419,98.95287958,0.019996628
94,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,08:30,,37.8,38.2,38.1,0.1,38.2,Alta,08:30 a. m. a 10:30 a. m.,D,D,B,-0.261780105,0.261780105,99.7382199,-0.582063362
95,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,10:30,,38.1,38.2,38.2,0,38.2,Alta,10:30 a. m. a 12:30 p. m.,E,E,C,0,0,100,
96,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,12:30,,38.2,38.2,37.96,0.24,38.2,Baja,12:30 p. m. a 03:30 p. m.,F,F,D,-0.628272251,0.628272251,99.37172775,-0.201852121
97,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,15:30,,37.96,38.2,37.74,0.46,38.2,Baja,03:30 p. m. a 06:30 p. m.,G,G,E,-1.204188482,1.204188482,98.79581152,0.080694469
98,Conservado,22/07/2019,Base de árbol,B,11,Juvenil,Juvenil interior,Juvenil 2,118,118CBAJ2,556,18:30,,37.74,38.2,38.11,0.09,38.2,Alta,06:30 p. m. a 09:30 p. m.,H,H,F,-0.235602094,0.235602094,99.76439791,-0.627820854
101,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,00:30,,116.99,116.99,116.63,0.36,116.99,Baja,12:30 a. m. a 04:30 a. m.,B,B,A,-0.307718608,0.307718608,99.69228139,-0.511846241
102,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,04:30,,116.63,116.99,115.64,1.35,116.99,Baja,04:30 a. m. a 08:30 a. m.,C,C,B,-1.153944782,1.153944782,98.84605522,0.062185028
103,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,08:30,,115.64,116.99,116.45,0.54,116.99,Alta,08:30 a. m. a 10:30 a. m.,D,D,C,-0.461577913,0.461577913,99.53842209,-0.335754981
104,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,10:30,,116.45,116.99,116.65,0.34,116.99,Alta,10:30 a. m. a 12:30 p. m.,E,E,D,-0.29062313,0.29062313,99.70937687,-0.536669824
105,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,12:30,,116.65,116.99,116.1,0.89,116.99,Baja,12:30 p. m. a 03:30 p. m.,F,F,E,-0.760748782,0.760748782,99.23925122,-0.118758734
106,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,15:30,,116.1,116.99,115.47,1.52,116.99,Baja,03:30 p. m. a 06:30 p. m.,G,G,F,-1.299256347,1.299256347,98.70074365,0.113694847
107,Conservado,22/07/2019,Base de árbol,B,12,Adulto,Adulto interior,Adulto 2,118,118CBAA2,556,18:30,,115.47,116.99,117.05,-0.06,116.99,Alta,06:30 p. m. a 09:30 p. m.,H,H,,0.360113178,-0.360113178,100.3601132,
109,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,15:30,PI,40.57,40.57,40.38,0.19,40.57,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.46832635,0.46832635,99.53167365,-0.329451406
110,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,18:30,,40.38,40.57,40.27,0.3,40.57,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.739462657,0.739462657,99.26053734,-0.131083753
111,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,21:30,,40.27,40.57,40.18,0.39,40.57,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.961301454,0.961301454,99.03869855,-0.017140401
112,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,00:30,,40.18,40.57,40.07,0.5,40.57,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.232437762,1.232437762,98.76756224,0.090764997
113,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,04:30,,40.07,40.57,40,0.57,40.57,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.404979049,1.404979049,98.59502095,0.147669848
114,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,08:30,,40,40.57,39.9,0.67,40.57,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.651466601,1.651466601,98.3485334,0.217869795
115,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,10:30,,39.9,40.57,39.87,0.7,40.57,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.725412867,1.725412867,98.27458713,0.236893032
116,Conservado,22/09/2019,Base de árbol,B,13,Juvenil,Juvenil interior,Juvenil 3,114,114CBAJ3,556,12:30,,39.87,40.57,39.78,0.79,40.57,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.947251664,1.947251664,98.05274834,0.289422084
118,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,15:30,PI,133.89,133.89,133.2,0.69,133.89,Baja,03:30 p. m. a 06:30 p. m.,A,G,A,-0.51534842,0.51534842,99.48465158,-0.287899051
119,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,18:30,,133.2,133.89,132.93,0.96,133.89,Alta,06:30 p. m. a 09:30 p. m.,B,H,B,-0.717006498,0.717006498,99.2829935,-0.144476908
120,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,21:30,,132.93,133.89,132.64,1.25,133.89,Alta,09:30 p. m. a 12:30 a. m.,C,A,C,-0.933602211,0.933602211,99.06639779,-0.029838128
121,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,00:30,,132.64,133.89,132.39,1.5,133.89,Baja,12:30 a. m. a 04:30 a. m.,D,B,D,-1.120322653,1.120322653,98.87967735,0.049343118
122,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,04:30,,132.39,133.89,132.31,1.58,133.89,Baja,04:30 a. m. a 08:30 a. m.,E,C,E,-1.180073194,1.180073194,98.81992681,0.071908945
123,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,08:30,,132.31,133.89,132.12,1.77,133.89,Alta,08:30 a. m. a 10:30 a. m.,F,D,F,-1.32198073,1.32198073,98.67801927,0.121225125
124,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,10:30,,132.12,133.89,131.98,1.91,133.89,Alta,10:30 a. m. a 12:30 p. m.,G,E,G,-1.426544178,1.426544178,98.57345582,0.154285226
125,Conservado,22/09/2019,Base de árbol,B,14,Adulto,Adulto interior,Adulto 3,114,114CBAA3,556,12:30,,131.98,133.89,131.8,2.09,133.89,Baja,12:30 p. m. a 03:30 p. m.,H,F,H,-1.560982896,1.560982896,98.4390171,0.193398144
