id,posicion,tank,tratamiento,pool,clutch,medicion,medicion2,muerto,vivo,sum
42,10,J,TEMP-2,A,A,1,B,0,4,4
16,15,O,TEMP-2,C,C,1,B,0,4,4
51,20,T,TEMP-2,A,A,1,B,0,4,4
32,22,V,TEMP-2,C,C,1,B,0,4,4
135,23,W,TEMP-2,B,B,1,B,0,4,4
122,28,BB,TEMP-2,B,B,1,B,0,4,4
93,29,CC,TEMP-2,C,C,1,B,0,4,4
82,32,FF,TEMP-2,A,A,1,B,0,4,4
68,4,D,TEMP-2,A,A,1,B,1,3,4
132,13,M,TEMP-2,B,B,1,B,1,3,4
36,2,B,TEMP-3,A,A,1,B,0,4,4
22,5,E,TEMP-3,C,C,1,B,0,4,4
108,11,K,TEMP-3,B,B,1,B,0,4,4
38,12,L,TEMP-3,C,C,1,B,0,4,4
76,14,N,TEMP-3,A,A,1,B,0,4,4
54,19,S,TEMP-3,C,C,1,B,0,4,4
90,24,X,TEMP-3,A,A,1,B,0,4,4
60,30,DD,TEMP-3,A,A,1,B,0,4,4
5,33,GG,TEMP-3,C,C,1,B,0,4,4
140,6,F,TEMP-3,B,B,1,B,1,3,4
128,31,EE,TEMP-3,B,B,1,B,1,3,4
115,21,U,TEMP-3,B,B,1,B,2,2,4
4,7,G,TEMP-1,A,A,2,C,0,4,4
120,8,H,TEMP-1,B,B,2,C,0,4,4
63,9,I,TEMP-1,C,C,2,C,0,4,4
79,16,P,TEMP-1,C,C,2,C,0,4,4
10,17,Q,TEMP-1,A,A,2,C,0,4,4
143,18,R,TEMP-1,B,B,2,C,0,4,4
112,25,Y,TEMP-1,B,B,2,C,0,4,4
71,26,Z,TEMP-1,C,C,2,C,0,4,4
18,27,AA,TEMP-1,A,A,2,C,0,4,4
86,34,HH,TEMP-1,C,C,2,C,0,4,4
26,35,II,TEMP-1,A,A,2,C,0,4,4
104,36,JJ,TEMP-1,B,B,2,C,0,4,4
45,1,A,TEMP-2,C,C,2,C,0,4,4
99,3,C,TEMP-2,B,B,2,C,0,4,4
42,10,J,TEMP-2,A,A,2,C,0,4,4
13,15,O,TEMP-2,C,C,2,C,0,4,4
50,20,T,TEMP-2,A,A,2,C,0,4,4
31,22,V,TEMP-2,C,C,2,C,0,4,4
134,23,W,TEMP-2,B,B,2,C,0,4,4
122,28,BB,TEMP-2,B,B,2,C,0,4,4
95,29,CC,TEMP-2,C,C,2,C,0,4,4
82,32,FF,TEMP-2,A,A,2,C,0,4,4
68,4,D,TEMP-2,A,A,2,C,1,3,4
132,13,M,TEMP-2,B,B,2,C,1,3,4
35,2,B,TEMP-3,A,A,2,C,0,4,4
24,5,E,TEMP-3,C,C,2,C,0,4,4
105,11,K,TEMP-3,B,B,2,C,0,4,4
40,12,L,TEMP-3,C,C,2,C,0,4,4
76,14,N,TEMP-3,A,A,2,C,0,4,4
56,19,S,TEMP-3,C,C,2,C,0,4,4
89,24,X,TEMP-3,A,A,2,C,0,4,4
60,30,DD,TEMP-3,A,A,2,C,0,4,4
8,33,GG,TEMP-3,C,C,2,C,0,4,4
140,6,F,TEMP-3,B,B,2,C,1,3,4
128,31,EE,TEMP-3,B,B,2,C,1,3,4
115,21,U,TEMP-3,B,B,2,C,2,2,4
4,7,G,TEMP-1,A,A,3,D,0,4,4
119,8,H,TEMP-1,B,B,3,D,0,4,4
64,9,I,TEMP-1,C,C,3,D,0,4,4
78,16,P,TEMP-1,C,C,3,D,0,4,4
10,17,Q,TEMP-1,A,A,3,D,0,4,4
144,18,R,TEMP-1,B,B,3,D,0,4,4
112,25,Y,TEMP-1,B,B,3,D,0,4,4
71,26,Z,TEMP-1,C,C,3,D,0,4,4
19,27,AA,TEMP-1,A,A,3,D,0,4,4
85,34,HH,TEMP-1,C,C,3,D,0,4,4
26,35,II,TEMP-1,A,A,3,D,0,4,4
101,36,JJ,TEMP-1,B,B,3,D,0,4,4
47,1,A,TEMP-2,C,C,3,D,0,4,4
100,3,C,TEMP-2,B,B,3,D,0,4,4
41,10,J,TEMP-2,A,A,3,D,0,4,4
14,15,O,TEMP-2,C,C,3,D,0,4,4
51,20,T,TEMP-2,A,A,3,D,0,4,4
32,22,V,TEMP-2,C,C,3,D,0,4,4
133,23,W,TEMP-2,B,B,3,D,0,4,4
123,28,BB,TEMP-2,B,B,3,D,0,4,4
96,29,CC,TEMP-2,C,C,3,D,0,4,4
82,32,FF,TEMP-2,A,A,3,D,0,4,4
68,4,D,TEMP-2,A,A,3,D,1,3,4
132,13,M,TEMP-2,B,B,3,D,1,3,4
33,2,B,TEMP-3,A,A,3,D,0,4,4
22,5,E,TEMP-3,C,C,3,D,0,4,4
106,11,K,TEMP-3,B,B,3,D,0,4,4
37,12,L,TEMP-3,C,C,3,D,0,4,4
74,14,N,TEMP-3,A,A,3,D,0,4,4
56,19,S,TEMP-3,C,C,3,D,0,4,4
91,24,X,TEMP-3,A,A,3,D,0,4,4
57,30,DD,TEMP-3,A,A,3,D,0,4,4
8,33,GG,TEMP-3,C,C,3,D,0,4,4
140,6,F,TEMP-3,B,B,3,D,1,3,4
128,31,EE,TEMP-3,B,B,3,D,1,3,4
115,21,U,TEMP-3,B,B,3,D,2,2,4
1,7,G,TEMP-1,A,A,4,E,0,4,4
117,8,H,TEMP-1,B,B,4,E,0,4,4
61,9,I,TEMP-1,C,C,4,E,0,4,4
77,16,P,TEMP-1,C,C,4,E,0,4,4
11,17,Q,TEMP-1,A,A,4,E,0,4,4
142,18,R,TEMP-1,B,B,4,E,0,4,4
110,25,Y,TEMP-1,B,B,4,E,0,4,4
70,26,Z,TEMP-1,C,C,4,E,0,4,4
18,27,AA,TEMP-1,A,A,4,E,0,4,4
87,34,HH,TEMP-1,C,C,4,E,0,4,4
28,35,II,TEMP-1,A,A,4,E,0,4,4
104,36,JJ,TEMP-1,B,B,4,E,0,4,4
46,1,A,TEMP-2,C,C,4,E,0,4,4
99,3,C,TEMP-2,B,B,4,E,0,4,4
43,10,J,TEMP-2,A,A,4,E,0,4,4
13,15,O,TEMP-2,C,C,4,E,0,4,4
51,20,T,TEMP-2,A,A,4,E,0,4,4
29,22,V,TEMP-2,C,C,4,E,0,4,4
133,23,W,TEMP-2,B,B,4,E,0,4,4
124,28,BB,TEMP-2,B,B,4,E,0,4,4
94,29,CC,TEMP-2,C,C,4,E,0,4,4
81,32,FF,TEMP-2,A,A,4,E,0,4,4
68,4,D,TEMP-2,A,A,4,E,1,3,4
132,13,M,TEMP-2,B,B,4,E,1,3,4
38,12,L,TEMP-3,C,C,4,E,0,4,4
76,14,N,TEMP-3,A,A,4,E,0,4,4
56,19,S,TEMP-3,C,C,4,E,0,4,4
58,30,DD,TEMP-3,A,A,4,E,0,4,4
140,6,F,TEMP-3,B,B,4,E,1,3,4
92,24,X,TEMP-3,A,A,4,E,1,3,4
128,31,EE,TEMP-3,B,B,4,E,1,3,4
115,21,U,TEMP-3,B,B,4,E,2,2,4
3,7,G,TEMP-1,A,A,5,F,0,4,4
118,8,H,TEMP-1,B,B,5,F,0,4,4
61,9,I,TEMP-1,C,C,5,F,0,4,4
78,16,P,TEMP-1,C,C,5,F,0,4,4
9,17,Q,TEMP-1,A,A,5,F,0,4,4
143,18,R,TEMP-1,B,B,5,F,0,4,4
110,25,Y,TEMP-1,B,B,5,F,0,4,4
71,26,Z,TEMP-1,C,C,5,F,0,4,4
17,27,AA,TEMP-1,A,A,5,F,0,4,4
86,34,HH,TEMP-1,C,C,5,F,0,4,4
27,35,II,TEMP-1,A,A,5,F,0,4,4
101,36,JJ,TEMP-1,B,B,5,F,0,4,4
47,1,A,TEMP-2,C,C,5,F,0,4,4
100,3,C,TEMP-2,B,B,5,F,0,4,4
41,10,J,TEMP-2,A,A,5,F,0,4,4
14,15,O,TEMP-2,C,C,5,F,0,4,4
49,20,T,TEMP-2,A,A,5,F,0,4,4
136,23,W,TEMP-2,B,B,5,F,0,4,4
123,28,BB,TEMP-2,B,B,5,F,0,4,4
93,29,CC,TEMP-2,C,C,5,F,0,4,4
82,32,FF,TEMP-2,A,A,5,F,0,4,4
68,4,D,TEMP-2,A,A,5,F,1,3,4
132,13,M,TEMP-2,B,B,5,F,1,3,4
32,22,V,TEMP-2,C,C,5,F,1,3,4
128,31,EE,TEMP-3,B,B,5,F,1,3,4
115,21,U,TEMP-3,B,B,5,F,2,2,4
57,30,DD,TEMP-3,A,A,5,F,3,1,4
1,7,G,TEMP-1,A,A,6,G,0,4,4
119,8,H,TEMP-1,B,B,6,G,0,4,4
64,9,I,TEMP-1,C,C,6,G,0,4,4
80,16,P,TEMP-1,C,C,6,G,0,4,4
11,17,Q,TEMP-1,A,A,6,G,0,4,4
143,18,R,TEMP-1,B,B,6,G,0,4,4
110,25,Y,TEMP-1,B,B,6,G,0,4,4
72,26,Z,TEMP-1,C,C,6,G,0,4,4
19,27,AA,TEMP-1,A,A,6,G,0,4,4
26,35,II,TEMP-1,A,A,6,G,0,4,4
104,36,JJ,TEMP-1,B,B,6,G,0,4,4
88,34,HH,TEMP-1,C,C,6,G,1,3,4
100,3,C,TEMP-2,B,B,6,G,0,4,4
41,10,J,TEMP-2,A,A,6,G,0,4,4
15,15,O,TEMP-2,C,C,6,G,0,4,4
52,20,T,TEMP-2,A,A,6,G,0,4,4
121,28,BB,TEMP-2,B,B,6,G,0,4,4
94,29,CC,TEMP-2,C,C,6,G,0,4,4
68,4,D,TEMP-2,A,A,6,G,1,3,4
2,7,G,TEMP-1,A,A,7,H,0,4,4
117,8,H,TEMP-1,B,B,7,H,0,4,4
62,9,I,TEMP-1,C,C,7,H,0,4,4
78,16,P,TEMP-1,C,C,7,H,0,4,4
12,17,Q,TEMP-1,A,A,7,H,0,4,4
141,18,R,TEMP-1,B,B,7,H,0,4,4
111,25,Y,TEMP-1,B,B,7,H,0,4,4
72,26,Z,TEMP-1,C,C,7,H,0,4,4
20,27,AA,TEMP-1,A,A,7,H,0,4,4
27,35,II,TEMP-1,A,A,7,H,0,4,4
104,36,JJ,TEMP-1,B,B,7,H,0,4,4
85,34,HH,TEMP-1,C,C,7,H,1,3,4
118,8,H,TEMP-1,B,B,8,I,0,4,4
79,16,P,TEMP-1,C,C,8,I,0,4,4
9,17,Q,TEMP-1,A,A,8,I,0,4,4
69,26,Z,TEMP-1,C,C,8,I,0,4,4
19,27,AA,TEMP-1,A,A,8,I,0,4,4
25,35,II,TEMP-1,A,A,8,I,0,4,4
103,36,JJ,TEMP-1,B,B,8,I,0,4,4
112,25,Y,TEMP-1,B,B,8,I,1,3,4
3,7,G,TEMP-1,A,A,8,I,2,2,4
