id,posicion,tank,tratamiento,poza,pool,puesta,clutch,repeticion,estadio,lcu,lco,lt,peso,fecha,medicion,medicion2,semana,dm,muerto,vivo
19,27,AA,TEMP-1,9,A,1,A,3,36,12.13,19.79,31.14,0.32,20/03/2023,5,F,3,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,36,12.11,19.52,32.35,0.32,20/03/2023,5,F,3,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,37,12.39,19.37,31.49,0.35,24/03/2023,6,G,3,,0,1
20,27,AA,TEMP-1,9,A,1,A,3,34,11.5,19.28,28.66,0.29,16/03/2023,4,E,2,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,35,12.74,18.93,31.25,0.39,20/03/2023,5,F,3,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,37,12.89,18.65,33.14,0.48,24/03/2023,6,G,3,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,37,11.66,18.65,31.94,0.33,24/03/2023,6,G,3,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,35,10.43,18.54,28.86,0.28,16/03/2023,4,E,2,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,34,11.94,17.53,28.29,0.33,16/03/2023,4,E,2,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,34,12.61,17.1,29.1,0.33,16/03/2023,4,E,2,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,40,11.62,15.7,28.49,0.37,28/03/2023,7,H,4,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,33,9.5,15.03,24.77,0.19,12/03/2023,3,D,2,,0,1
20,27,AA,TEMP-1,9,A,1,A,3,33,8.76,14.94,24.5,0.19,12/03/2023,3,D,2,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,33,9.42,14.9,24.44,0.22,12/03/2023,3,D,2,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,33,9.87,14.18,23.8,0.2,12/03/2023,3,D,2,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,30,8.75,14.18,22.01,0.13,08/03/2023,2,C,1,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,30,9.12,13.35,21.92,0.15,08/03/2023,2,C,1,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,31,9.28,13.2,22.16,0.15,08/03/2023,2,C,1,,0,1
20,27,AA,TEMP-1,9,A,1,A,3,30,9.68,11.7,20.83,0.15,08/03/2023,2,C,1,,0,1
20,27,AA,TEMP-1,9,A,1,A,3,28,7.17,11.15,18.39,0.07,04/03/2023,1,B,1,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,29,7.67,10.13,18.3,0.08,04/03/2023,1,B,1,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,29,6.81,10.08,17.94,0.08,04/03/2023,1,B,1,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,28,7.35,9.47,16.79,0.07,04/03/2023,1,B,1,,0,1
20,27,AA,TEMP-1,9,A,1,A,3,27,6.18,9.46,14.85,0.03,28/02/2023,0,A,0,,0,1
19,27,AA,TEMP-1,9,A,1,A,3,27,6.1,8.7,14.69,0.03,28/02/2023,0,A,0,,0,1
17,27,AA,TEMP-1,9,A,1,A,3,27,6.23,8.47,14.3,0.04,28/02/2023,0,A,0,,0,1
18,27,AA,TEMP-1,9,A,1,A,3,27,6.05,8.4,13.94,0.04,28/02/2023,0,A,0,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,41,12.23,18.23,24.92,0.28,24/03/2023,6,G,3,26,0,1
124,28,BB,TEMP-2,11,B,2,B,1,41,12.82,18.23,30.4,0.37,24/03/2023,6,G,3,24,0,1
121,28,BB,TEMP-2,11,B,2,B,1,41,12.3,18,29.27,0.26,24/03/2023,6,G,3,24,0,1
122,28,BB,TEMP-2,11,B,2,B,1,41,11.4,18.26,29.23,0.32,24/03/2023,6,G,3,24,0,1
123,28,BB,TEMP-2,11,B,2,B,1,39,13.4,17.63,31.03,0.37,20/03/2023,5,F,3,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,38,11,17.11,28.63,0.27,20/03/2023,5,F,3,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,37,11.8,17,27.89,0.3,16/03/2023,4,E,2,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,38,11.86,16.88,27.81,0.28,20/03/2023,5,F,3,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,38,11.1,16.42,27.31,0.3,20/03/2023,5,F,3,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,37,10.22,17.13,26.52,0.23,16/03/2023,4,E,2,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,36,9.88,15.7,25.59,0.21,12/03/2023,3,D,2,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,37,10.5,15.55,25.55,0.22,16/03/2023,4,E,2,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,36,10,15.01,24.84,0.21,16/03/2023,4,E,2,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,35,9.49,14.67,23.69,0.17,12/03/2023,3,D,2,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,34,9.24,13.9,23.04,0.15,12/03/2023,3,D,2,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,33,10.49,14,22.98,0.17,08/03/2023,2,C,1,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,34,8.26,13.79,22.46,0.15,12/03/2023,3,D,2,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,31,9.43,13.52,21.35,0.11,08/03/2023,2,C,1,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,31,8.75,13.1,20.08,0.1,08/03/2023,2,C,1,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,29,7.7,11.04,19.59,0.08,04/03/2023,1,B,1,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,32,8.04,12.22,19.08,0.09,08/03/2023,2,C,1,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,29,7.1,11.46,18.12,0.07,04/03/2023,1,B,1,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,28,6.35,10.82,17.66,0.06,04/03/2023,1,B,1,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,28,6.64,10.55,16.62,0.06,04/03/2023,1,B,1,,0,1
122,28,BB,TEMP-2,11,B,2,B,1,27,6.13,9.77,16.34,0.05,28/02/2023,0,A,0,,0,1
124,28,BB,TEMP-2,11,B,2,B,1,27,5.96,9.5,15.6,0.04,28/02/2023,0,A,0,,0,1
121,28,BB,TEMP-2,11,B,2,B,1,27,5.66,8.45,14.64,0.03,28/02/2023,0,A,0,,0,1
123,28,BB,TEMP-2,11,B,2,B,1,27,5.31,8.81,13.99,0.03,28/02/2023,0,A,0,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,39,11.94,16.76,27.56,0.34,20/03/2023,5,F,3,24,0,1
93,29,CC,TEMP-2,20,C,3,C,3,39,12.14,18.37,29.25,0.37,20/03/2023,5,F,3,22,0,1
95,29,CC,TEMP-2,20,C,3,C,3,39,11.94,17.49,29.25,0.38,20/03/2023,5,F,3,22,0,1
94,29,CC,TEMP-2,20,C,3,C,3,41,11.35,17.33,27.32,0.31,24/03/2023,6,G,3,22,0,1
94,29,CC,TEMP-2,20,C,3,C,3,39,9.8,17.8,28.83,0.32,20/03/2023,5,F,3,,0,1
95,29,CC,TEMP-2,20,C,3,C,3,37,11.24,17.22,27.94,0.33,16/03/2023,4,E,2,,0,1
94,29,CC,TEMP-2,20,C,3,C,3,37,11.75,16.75,27.67,0.34,16/03/2023,4,E,2,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,37,10.74,16.52,27.54,0.31,16/03/2023,4,E,2,,0,1
93,29,CC,TEMP-2,20,C,3,C,3,37,10.65,15.75,27.46,0.3,16/03/2023,4,E,2,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,36,10.71,16.05,25.93,0.22,12/03/2023,3,D,2,,0,1
95,29,CC,TEMP-2,20,C,3,C,3,36,10.33,15.34,25.53,0.24,12/03/2023,3,D,2,,0,1
94,29,CC,TEMP-2,20,C,3,C,3,36,9.91,15.26,25.23,0.26,12/03/2023,3,D,2,,0,1
93,29,CC,TEMP-2,20,C,3,C,3,36,10.63,14.87,25.17,0.28,12/03/2023,3,D,2,,0,1
94,29,CC,TEMP-2,20,C,3,C,3,34,9.62,13.37,23.19,0.17,08/03/2023,2,C,1,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,33,9.4,12.9,23.1,0.18,08/03/2023,2,C,1,,0,1
93,29,CC,TEMP-2,20,C,3,C,3,33,9.78,12.94,22.76,0.19,08/03/2023,2,C,1,,0,1
95,29,CC,TEMP-2,20,C,3,C,3,33,9.76,13.2,22.71,0.2,08/03/2023,2,C,1,,0,1
93,29,CC,TEMP-2,20,C,3,C,3,30,7.52,9.95,18.8,0.1,04/03/2023,1,B,1,,0,1
94,29,CC,TEMP-2,20,C,3,C,3,30,8.33,9.21,18.77,0.1,04/03/2023,1,B,1,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,29,7.4,11.29,18.35,0.1,04/03/2023,1,B,1,,0,1
95,29,CC,TEMP-2,20,C,3,C,3,31,7.9,10.89,18.34,0.1,04/03/2023,1,B,1,,0,1
93,29,CC,TEMP-2,20,C,3,C,3,27,5.8,8.27,14.61,0.04,28/02/2023,0,A,0,,0,1
96,29,CC,TEMP-2,20,C,3,C,3,27,5.85,9.03,14.56,0.04,28/02/2023,0,A,0,,0,1
95,29,CC,TEMP-2,20,C,3,C,3,27,6.27,9.02,14.46,0.04,28/02/2023,0,A,0,,0,1
94,29,CC,TEMP-2,20,C,3,C,3,27,6.04,7.08,13.65,0.04,28/02/2023,0,A,0,,0,1
59,30,DD,TEMP-3,9,A,1,A,4,37,10.7,15.33,25.64,0.28,12/03/2023,3,D,2,21,0,1
60,30,DD,TEMP-3,9,A,1,A,4,36,10.15,14.83,24.16,0.26,12/03/2023,3,D,2,21,0,1
58,30,DD,TEMP-3,9,A,1,A,4,39,10.99,15.45,26.58,0.32,16/03/2023,4,E,2,18,0,1
57,30,DD,TEMP-3,9,A,1,A,4,41,11.82,15.46,26.46,0.29,20/03/2023,5,F,3,17,0,1
57,30,DD,TEMP-3,9,A,1,A,4,41,11.55,15.73,25.77,0.23,16/03/2023,4,E,2,,0,1
58,30,DD,TEMP-3,9,A,1,A,4,37,10.89,14.77,25.25,0.27,12/03/2023,3,D,2,,0,1
57,30,DD,TEMP-3,9,A,1,A,4,37,10.24,13.1,23.91,0.29,12/03/2023,3,D,2,,0,1
59,30,DD,TEMP-3,9,A,1,A,4,35,9.55,12.89,22.66,0.19,08/03/2023,2,C,1,,0,1
58,30,DD,TEMP-3,9,A,1,A,4,35,9.66,12.84,22.8,0.2,08/03/2023,2,C,1,,0,1
57,30,DD,TEMP-3,9,A,1,A,4,35,9.68,12.82,21.9,0.2,08/03/2023,2,C,1,,0,1
58,30,DD,TEMP-3,9,A,1,A,4,31,8.12,12.04,19.54,0.1,04/03/2023,1,B,1,,0,1
60,30,DD,TEMP-3,9,A,1,A,4,33,8.73,11.85,21.83,0.17,08/03/2023,2,C,1,,0,1
60,30,DD,TEMP-3,9,A,1,A,4,31,8.12,11.78,19.56,0.12,04/03/2023,1,B,1,,0,1
59,30,DD,TEMP-3,9,A,1,A,4,31,8.34,11.73,20.39,0.11,04/03/2023,1,B,1,,0,1
57,30,DD,TEMP-3,9,A,1,A,4,28,7.17,10.75,17.56,0.08,04/03/2023,1,B,1,,0,1
58,30,DD,TEMP-3,9,A,1,A,4,27,5.87,8.78,14.46,0.03,28/02/2023,0,A,0,,0,1
57,30,DD,TEMP-3,9,A,1,A,4,27,6.58,8.67,15.3,0.04,28/02/2023,0,A,0,,0,1
60,30,DD,TEMP-3,9,A,1,A,4,27,6.45,8.66,14.47,0.04,28/02/2023,0,A,0,,0,1
59,30,DD,TEMP-3,9,A,1,A,4,27,6.3,8.21,14.59,0.04,28/02/2023,0,A,0,,0,1
127,31,EE,TEMP-3,11,B,2,B,4,40,11.1,17.2,28.19,0.28,20/03/2023,5,F,3,21,0,1
126,31,EE,TEMP-3,11,B,2,B,4,39,10.11,15.69,25.31,0.27,16/03/2023,4,E,2,18,0,1
125,31,EE,TEMP-3,11,B,2,B,4,39,9.29,15.41,24.49,0.22,16/03/2023,4,E,2,18,0,1
127,31,EE,TEMP-3,11,B,2,B,4,39,10.62,17.19,27.26,0.28,16/03/2023,4,E,2,,0,1
127,31,EE,TEMP-3,11,B,2,B,4,36,9.88,14.82,23.39,0.21,12/03/2023,3,D,2,,0,1
125,31,EE,TEMP-3,11,B,2,B,4,36,9.97,14.72,24.7,0.2,12/03/2023,3,D,2,,0,1
126,31,EE,TEMP-3,11,B,2,B,4,36,9.56,14.53,24.24,0.2,12/03/2023,3,D,2,,0,1
125,31,EE,TEMP-3,11,B,2,B,4,33,8.78,13.02,21.83,0.14,08/03/2023,2,C,1,,0,1
127,31,EE,TEMP-3,11,B,2,B,4,33,9.39,11.97,20.45,0.13,08/03/2023,2,C,1,,0,1
126,31,EE,TEMP-3,11,B,2,B,4,31,7.73,11.38,18.97,0.1,08/03/2023,2,C,1,,0,1
126,31,EE,TEMP-3,11,B,2,B,4,30,7.06,10.58,16.37,0.07,04/03/2023,1,B,1,,0,1
127,31,EE,TEMP-3,11,B,2,B,4,30,6.22,10.56,15.72,0.06,04/03/2023,1,B,1,,0,1
125,31,EE,TEMP-3,11,B,2,B,4,29,7.64,9.34,18.1,0.07,04/03/2023,1,B,1,,0,1
127,31,EE,TEMP-3,11,B,2,B,4,27,5.56,9.16,14.45,0.04,28/02/2023,0,A,0,,0,1
125,31,EE,TEMP-3,11,B,2,B,4,27,5.6,8.93,14.63,0.03,28/02/2023,0,A,0,,0,1
128,31,EE,TEMP-3,11,B,2,B,4,27,4.98,8.78,13.98,0.03,28/02/2023,0,A,0,,0,1
126,31,EE,TEMP-3,11,B,2,B,4,27,5.46,7.8,14.05,0.04,28/02/2023,0,A,0,,0,1
128,31,EE,TEMP-3,11,B,2,B,4,30,,,,,04/03/2023,1,B,,,1,0
128,31,EE,TEMP-3,11,B,2,B,4,,,,,,08/03/2023,2,C,,,1,
